47.434,13426,7.5,25-10-17,Thor: Ragnarok
48.547,16455,8.3,18-12-01,The Lord of the Rings: The Fellowship of the Ring
45.397,15776,7.4,27-04-16,Captain America: Civil War
45.303,14425,7.6,19-04-17,Guardians of the Galaxy Vol. 2
44.068,13784,7.4,05-07-17,Spider-Man: Homecoming
47.944,9523,7.3,10-12-14,The Hobbit: The Battle of the Five Armies
48.06,242,7.4,01-03-20,To All the Boys I've Loved Before
87.73,847,5.3,04-08-98,Pocahontas II: Journey to a New World
45.849,0,0,,Battle Royale
57.051,412,6.1,19-12-19,Ip Man 4: The Finale
43.331,9336,8.4,10-10-14,Whiplash
46,15405,7.3,22-04-15,Avengers: Age of Ultron
61.038,20,5.9,23-02-11,23-F: la película
41.991,1438,7.1,30-10-19,Doctor Sleep
61.363,161,6.3,24-01-20,Color Out of Space
43.825,9075,8.3,14-09-94,Léon: The Professional
37.799,11794,7.1,10-09-14,The Maze Runner
39.429,12826,7.8,16-11-05,Harry Potter and the Goblet of Fire
57.518,655,6.8,13-12-19,Bombshell
36.722,7387,7.1,08-02-17,John Wick: Chapter 2
39.999,13396,8,31-05-04,Harry Potter and the Prisoner of Azkaban
40.506,4281,7.6,19-06-19,Toy Story 4
44.447,14475,6.7,21-04-11,Thor
42.824,20804,7.4,10-12-09,Avatar
31.211,12184,7.2,22-10-14,John Wick
39.218,14679,7.4,13-02-18,Black Panther
32.8,1,4,07-04-20,Gold Dust
43.299,16504,8.1,30-03-99,The Matrix
44.041,13718,7.7,30-09-15,The Martian
42.381,2787,6.8,17-08-16,War Dogs
45.2,7,6.9,28-02-20,Kamen Rider Zi-O NEXT TIME: Geiz Majesty
43.756,105,5.3,07-02-20,365 Days
37.481,12476,7.7,28-06-07,Harry Potter and the Order of the Phoenix
42.175,14533,7.4,25-10-16,Doctor Strange
39.405,15009,8.4,01-12-03,The Lord of the Rings: The Return of the King
40.729,124,6,30-01-20,Gretel & Hansel
35.302,0,0,09-04-20,Camp Cold Brook
46.571,14473,7.9,09-06-15,Inside Out
44.193,2251,6.9,11-10-19,El Camino: A Breaking Bad Movie
47.551,3322,7.7,03-01-19,How to Train Your Dragon: The Hidden World
45.484,4843,6.6,16-01-19,Glass
39.705,0,0,10-04-20,The Main Event
47.861,11332,7.7,11-02-16,Zootopia
41.937,17849,7.6,30-04-08,Iron Man
44.175,623,6.9,06-11-19,Midway
47.232,6752,8.4,06-12-18,Spider-Man: Into the Spider-Verse
41.76,9029,8.5,20-07-01,Spirited Away
37.63,8010,7,04-07-18,Ant-Man and the Wasp
37.235,9200,7.1,02-07-97,Men in Black
38.827,18034,8.5,10-09-94,Pulp Fiction
43.504,4641,7,31-01-19,Alita: Battle Angel
43.202,11795,8.7,14-03-72,The Godfather
38.617,14088,7.4,15-12-15,Star Wars: The Force Awakens
23.156,173,6.1,03-05-90,Tales from the Darkside: The Movie
42.794,122,7.4,06-03-20,The Banker
37.835,643,5.5,21-05-15,Survivor
37.068,12187,7.7,07-07-09,Harry Potter and the Half-Blood Prince
38.379,2245,8.2,22-09-16,The Invisible Guest
41.016,4336,5.9,13-10-16,Inferno
38.13,0,0,10-04-20,Tigertail
35.084,724,7.1,07-11-19,Last Christmas
39.378,3130,7.7,01-11-19,The Irishman
39.529,10526,8,24-10-18,Bohemian Rhapsody
35.601,1957,7,09-10-19,Zombieland: Double Tap
33.187,4629,7,29-03-19,Shazam!
44.006,369,6.4,27-02-20,Guns Akimbo
22.504,2997,6.9,02-06-01,Atlantis: The Lost Empire
37.51,3960,7.2,20-11-18,Ralph Breaks the Internet
52.451,10640,7.2,20-06-06,Pirates of the Caribbean: Dead Man's Chest
46.818,4204,8.1,16-04-88,My Neighbor Totoro
37.112,11972,8.3,07-05-94,The Lion King
37.916,4304,6.6,17-07-14,The Purge: Anarchy
32.74,4819,7.3,13-07-18,Mission: Impossible - Fallout
37.031,7009,8.4,12-09-90,GoodFellas
34.235,17372,8.4,06-07-94,Forrest Gump
35.246,5966,5.9,23-06-15,Terminator Genisys
30.829,0,0,09-04-20,Chance
34.216,419,8.1,19-12-19,Togo
25.699,862,5.9,23-02-02,Cinderella II: Dreams Come True
32.637,13192,7.8,30-05-03,Finding Nemo
27.787,4590,6.7,13-10-10,RED
